Position,Points,Games.Won,Games.Drawn,Games.Lost,Goals.Scored,Goals.Conceded,Goal.Difference,Clean.Sheets,Yellow.Cards
 1.00000000,-0.95357781,-0.94691548, 0.15591678, 0.90486948,-0.79897436, 0.82355801,-0.92789580,-0.70484319, 0.17417316
-0.95357781, 1.00000000, 0.97905019,-0.10622356,-0.91046540, 0.85167618,-0.79955473, 0.94532363, 0.73147720,-0.23917639
-0.94691548, 0.97905019, 1.00000000,-0.28096651,-0.83385052, 0.83876217,-0.77171132, 0.91859418, 0.69243734,-0.21373004
 0.15591678,-0.10622356,-0.28096651, 1.00000000,-0.16197216,-0.11677628, 0.02600099,-0.06674352, 0.02142898,-0.07611702
 0.90486948,-0.91046540,-0.83385052,-0.16197216, 1.00000000,-0.76235745, 0.82334748,-0.90427192,-0.71330004, 0.16105543
-0.79897436, 0.85167618, 0.83876217,-0.11677628,-0.76235745, 1.00000000,-0.53998228, 0.87125097, 0.46511285,-0.24966701
 0.82355801,-0.79955473,-0.77171132, 0.02600099, 0.82334748,-0.53998228, 1.00000000,-0.86368399,-0.80412410, 0.10478394
-0.92789580, 0.94532363, 0.91859418,-0.06674352,-0.90427192, 0.87125097,-0.86368399, 1.00000000, 0.71021267,-0.20663815
-0.70484319, 0.73147720, 0.69243734, 0.02142898,-0.71330004, 0.46511285,-0.80412410, 0.71021267, 1.00000000,-0.16259516
 0.17417316,-0.23917639,-0.21373004,-0.07611702, 0.16105543,-0.24966701, 0.10478394,-0.20663815,-0.16259516, 1.00000000
